PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
221,1,3,0,16,0,0,8.05,,1
222,0,2,0,27,0,0,13.0,,1
223,0,3,0,51,0,0,8.05,,1
224,0,3,0,28,0,0,7.8958,,1
225,1,1,0,38,1,0,65.6344,C93,1
226,0,3,0,22,0,0,9.35,,1
227,1,2,0,19,0,0,10.5,,1
228,0,3,0,20,0,0,7.25,,1
229,0,2,0,18,0,0,13.0,,1
230,0,3,1,28,3,1,25.4667,,1
231,1,1,1,35,1,0,65.6344,C83,1
232,0,3,0,29,0,0,7.775,,1
233,0,2,0,59,0,0,13.5,,1
234,1,3,1,5,4,2,31.3875,,1
235,0,2,0,24,0,0,10.5,,1
236,0,3,1,28,0,0,7.55,,1
237,0,2,0,44,1,0,26.0,,1
238,1,2,1,8,0,2,26.25,,1
239,0,2,0,19,0,0,10.5,,1
240,0,2,0,33,0,0,12.275,,1
241,0,3,1,28,1,0,14.4542,,0
242,1,3,1,28,1,0,15.5,,2
243,0,2,0,29,0,0,10.5,,1
244,0,3,0,22,0,0,7.125,,1
245,0,3,0,30,0,0,7.225,,0
246,0,1,0,44,2,0,65.6344,C78,2
247,0,3,1,25,0,0,7.775,,1
248,1,2,1,24,0,2,14.5,,1
249,1,1,0,37,1,1,52.5542,D35,1
250,0,2,0,54,1,0,26.0,,1
251,0,3,0,28,0,0,7.25,,1
252,0,3,1,29,1,1,10.4625,G6,1
253,0,1,0,62,0,0,26.55,C87,1
254,0,3,0,30,1,0,16.1,,1
255,0,3,1,41,0,2,20.2125,,1
256,1,3,1,29,0,2,15.2458,,0
257,1,1,1,28,0,0,65.6344,,0
258,1,1,1,30,0,0,65.6344,B77,1
259,1,1,1,35,0,0,65.6344,,0
260,1,2,1,50,0,1,26.0,,1
261,0,3,0,28,0,0,7.75,,2
262,1,3,0,3,4,2,31.3875,,1
263,0,1,0,52,1,1,65.6344,E67,1
264,0,1,0,40,0,0,0.0,B94,1
265,0,3,1,28,0,0,7.75,,2
266,0,2,0,36,0,0,10.5,,1
267,0,3,0,16,4,1,39.6875,,1
268,1,3,0,25,1,0,7.775,,1
269,1,1,1,58,0,1,65.6344,C125,1
270,1,1,1,35,0,0,65.6344,C99,1
271,0,1,0,28,0,0,31.0,,1
272,1,3,0,25,0,0,0.0,,1
273,1,2,1,41,0,1,19.5,,1
274,0,1,0,37,0,1,29.7,C118,0
275,1,3,1,28,0,0,7.75,,2
276,1,1,1,63,1,0,65.6344,D7,1
277,0,3,1,45,0,0,7.75,,1
278,0,2,0,28,0,0,0.0,,1
279,0,3,0,7,4,1,29.125,,2
280,1,3,1,35,1,1,20.25,,1
281,0,3,0,65,0,0,7.75,,2
282,0,3,0,28,0,0,7.8542,,1
283,0,3,0,16,0,0,9.5,,1
284,1,3,0,19,0,0,8.05,,1
285,0,1,0,28,0,0,26.0,A19,1
286,0,3,0,33,0,0,8.6625,,0
287,1,3,0,30,0,0,9.5,,1
288,0,3,0,22,0,0,7.8958,,1
289,1,2,0,42,0,0,13.0,,1
290,1,3,1,22,0,0,7.75,,2
291,1,1,1,26,0,0,65.6344,,1
292,1,1,1,19,1,0,65.6344,B49,0
293,0,2,0,36,0,0,12.875,D,0
294,0,3,1,24,0,0,8.85,,1
295,0,3,0,24,0,0,7.8958,,1
296,0,1,0,28,0,0,27.7208,,0
297,0,3,0,23,0,0,7.2292,,0
298,0,1,1,2,1,2,65.6344,C22 C26,1
299,1,1,0,28,0,0,30.5,C106,1
300,1,1,1,50,0,1,65.6344,B58 B60,0
301,1,3,1,28,0,0,7.75,,2
302,1,3,0,28,2,0,23.25,,2
303,0,3,0,19,0,0,0.0,,1
304,1,2,1,28,0,0,12.35,E101,2
305,0,3,0,28,0,0,8.05,,1
306,1,1,0,0,1,2,65.6344,C22 C26,1
307,1,1,1,28,0,0,65.6344,,0
308,1,1,1,17,1,0,65.6344,C65,0
309,0,2,0,30,1,0,24.0,,0
310,1,1,1,30,0,0,56.9292,E36,0
311,1,1,1,24,0,0,65.6344,C54,0
312,1,1,1,18,2,2,65.6344,B57 B59 B63 B66,0
313,0,2,1,26,1,1,26.0,,1
314,0,3,0,28,0,0,7.8958,,1
315,0,2,0,43,1,1,26.25,,1
316,1,3,1,26,0,0,7.8542,,1
317,1,2,1,24,1,0,26.0,,1
318,0,2,0,54,0,0,14.0,,1
319,1,1,1,31,0,2,65.6344,C7,1
320,1,1,1,40,1,1,65.6344,E34,0
321,0,3,0,22,0,0,7.25,,1
322,0,3,0,27,0,0,7.8958,,1
323,1,2,1,30,0,0,12.35,,2
324,1,2,1,22,1,1,29.0,,1
325,0,3,0,28,8,2,65.6344,,1
326,1,1,1,36,0,0,65.6344,C32,0
327,0,3,0,61,0,0,6.2375,,1
328,1,2,1,36,0,0,13.0,D,1
329,1,3,1,31,1,1,20.525,,1
330,1,1,1,16,0,1,57.9792,B18,0
331,1,3,1,28,2,0,23.25,,2
332,0,1,0,45,0,0,28.5,C124,1
333,0,1,0,38,0,1,65.6344,C91,1
334,0,3,0,16,2,0,18.0,,1
335,1,1,1,28,1,0,65.6344,,1
336,0,3,0,28,0,0,7.8958,,1
337,0,1,0,29,1,0,65.6344,C2,1
338,1,1,1,41,0,0,65.6344,E40,0
339,1,3,0,45,0,0,8.05,,1
340,0,1,0,45,0,0,35.5,T,1
341,1,2,0,2,1,1,26.0,F2,1
342,1,1,1,24,3,2,65.6344,C23 C25 C27,1
343,0,2,0,28,0,0,13.0,,1
344,0,2,0,25,0,0,13.0,,1
345,0,2,0,36,0,0,13.0,,1
346,1,2,1,24,0,0,13.0,F33,1
347,1,2,1,40,0,0,13.0,,1
348,1,3,1,28,1,0,16.1,,1
349,1,3,0,3,1,1,15.9,,1
350,0,3,0,42,0,0,8.6625,,1
351,0,3,0,23,0,0,9.225,,1
352,0,1,0,28,0,0,35.0,C128,1
353,0,3,0,15,1,1,7.2292,,0
354,0,3,0,25,1,0,17.8,,1
355,0,3,0,28,0,0,7.225,,0
356,0,3,0,28,0,0,9.5,,1
357,1,1,1,22,0,1,55.0,E33,1
358,0,2,1,38,0,0,13.0,,1
359,1,3,1,28,0,0,7.8792,,2
360,1,3,1,28,0,0,7.8792,,2
361,0,3,0,40,1,4,27.9,,1
362,0,2,0,29,1,0,27.7208,,0
363,0,3,1,45,0,1,14.4542,,0
364,0,3,0,35,0,0,7.05,,1
365,0,3,0,28,1,0,15.5,,2
366,0,3,0,30,0,0,7.25,,1
367,1,1,1,60,1,0,65.6344,D37,0
368,1,3,1,28,0,0,7.2292,,0
369,1,3,1,28,0,0,7.75,,2
370,1,1,1,24,0,0,65.6344,B35,0
371,1,1,0,25,1,0,55.4417,E50,0
372,0,3,0,18,1,0,6.4958,,1
373,0,3,0,19,0,0,8.05,,1
374,0,1,0,22,0,0,65.6344,,0
375,0,3,1,3,3,1,21.075,,1
376,1,1,1,28,1,0,65.6344,,0
377,1,3,1,22,0,0,7.25,,1
378,0,1,0,27,0,2,65.6344,C82,0
379,0,3,0,20,0,0,4.0125,,0
380,0,3,0,19,0,0,7.775,,1
381,1,1,1,42,0,0,65.6344,,0
382,1,3,1,1,0,2,15.7417,,0
383,0,3,0,32,0,0,7.925,,1
384,1,1,1,35,1,0,52.0,,1
385,0,3,0,28,0,0,7.8958,,1
386,0,2,0,18,0,0,65.6344,,1
387,0,3,0,1,5,2,46.9,,1
388,1,2,1,36,0,0,13.0,,1
389,0,3,0,28,0,0,7.7292,,2
390,1,2,1,17,0,0,12.0,,0
391,1,1,0,36,1,2,65.6344,B96 B98,1
392,1,3,0,21,0,0,7.7958,,1
393,0,3,0,28,2,0,7.925,,1
394,1,1,1,23,1,0,65.6344,D36,0
395,1,3,1,24,0,2,16.7,G6,1
396,0,3,0,22,0,0,7.7958,,1
397,0,3,1,31,0,0,7.8542,,1
398,0,2,0,46,0,0,26.0,,1
399,0,2,0,23,0,0,10.5,,1
400,1,2,1,28,0,0,12.65,,1
401,1,3,0,39,0,0,7.925,,1
402,0,3,0,26,0,0,8.05,,1
403,0,3,1,21,1,0,9.825,,1
404,0,3,0,28,1,0,15.85,,1
405,0,3,1,20,0,0,8.6625,,1
406,0,2,0,34,1,0,21.0,,1
407,0,3,0,51,0,0,7.75,,1
408,1,2,0,3,1,1,18.75,,1
409,0,3,0,21,0,0,7.775,,1
410,0,3,1,28,3,1,25.4667,,1
411,0,3,0,28,0,0,7.8958,,1
412,0,3,0,28,0,0,6.8583,,2
413,1,1,1,33,1,0,65.6344,C78,2
414,0,2,0,28,0,0,0.0,,1
415,1,3,0,44,0,0,7.925,,1
416,0,3,1,28,0,0,8.05,,1
417,1,2,1,34,1,1,32.5,,1
418,1,2,1,18,0,2,13.0,,1
419,0,2,0,30,0,0,13.0,,1
420,0,3,1,10,0,2,24.15,,1
421,0,3,0,28,0,0,7.8958,,0
422,0,3,0,21,0,0,7.7333,,2
423,0,3,0,29,0,0,7.875,,1
424,0,3,1,28,1,1,14.4,,1
425,0,3,0,18,1,1,20.2125,,1
426,0,3,0,28,0,0,7.25,,1
427,1,2,1,28,1,0,26.0,,1
428,1,2,1,19,0,0,26.0,,1
429,0,3,0,28,0,0,7.75,,2
430,1,3,0,32,0,0,8.05,E10,1
431,1,1,0,28,0,0,26.55,C52,1
432,1,3,1,28,1,0,16.1,,1
433,1,2,1,42,1,0,26.0,,1
434,0,3,0,17,0,0,7.125,,1
435,0,1,0,50,1,0,55.9,E44,1
436,1,1,1,14,1,2,65.6344,B96 B98,1
437,0,3,1,21,2,2,34.375,,1
438,1,2,1,24,2,3,18.75,,1
439,0,1,0,64,1,4,65.6344,C23 C25 C27,1
440,0,2,0,31,0,0,10.5,,1
441,1,2,1,45,1,1,26.25,,1
442,0,3,0,20,0,0,9.5,,1
443,0,3,0,25,1,0,7.775,,1
444,1,2,1,28,0,0,13.0,,1
445,1,3,0,28,0,0,8.1125,,1
446,1,1,0,4,0,2,65.6344,A34,1
447,1,2,1,13,0,1,19.5,,1
448,1,1,0,34,0,0,26.55,,1
449,1,3,1,5,2,1,19.2583,,0
450,1,1,0,52,0,0,30.5,C104,1
451,0,2,0,36,1,2,27.75,,1
452,0,3,0,28,1,0,19.9667,,1
453,0,1,0,30,0,0,27.75,C111,0
454,1,1,0,49,1,0,65.6344,C92,0
455,0,3,0,28,0,0,8.05,,1
456,1,3,0,29,0,0,7.8958,,0
457,0,1,0,65,0,0,26.55,E38,1
458,1,1,1,28,1,0,51.8625,D21,1
459,1,2,1,50,0,0,10.5,,1
460,0,3,0,28,0,0,7.75,,2
461,1,1,0,48,0,0,26.55,E12,1
462,0,3,0,34,0,0,8.05,,1
463,0,1,0,47,0,0,38.5,E63,1
464,0,2,0,48,0,0,13.0,,1
465,0,3,0,28,0,0,8.05,,1
466,0,3,0,38,0,0,7.05,,1
467,0,2,0,28,0,0,0.0,,1
468,0,1,0,56,0,0,26.55,,1
469,0,3,0,28,0,0,7.725,,2
470,1,3,1,0,2,1,19.2583,,0
471,0,3,0,28,0,0,7.25,,1
472,0,3,0,38,0,0,8.6625,,1
473,1,2,1,33,1,2,27.75,,1
474,1,2,1,23,0,0,13.7917,D,0
475,0,3,1,22,0,0,9.8375,,1
476,0,1,0,28,0,0,52.0,A14,1
477,0,2,0,34,1,0,21.0,,1
478,0,3,0,29,1,0,7.0458,,1
479,0,3,0,22,0,0,7.5208,,1
480,1,3,1,2,0,1,12.2875,,1
481,0,3,0,9,5,2,46.9,,1
482,0,2,0,28,0,0,0.0,,1
483,0,3,0,50,0,0,8.05,,1
484,1,3,1,63,0,0,9.5875,,1
485,1,1,0,25,1,0,65.6344,B49,0
486,0,3,1,28,3,1,25.4667,,1
487,1,1,1,35,1,0,65.6344,C93,1
488,0,1,0,58,0,0,29.7,B37,0
489,0,3,0,30,0,0,8.05,,1
490,1,3,0,9,1,1,15.9,,1
491,0,3,0,28,1,0,19.9667,,1
492,0,3,0,21,0,0,7.25,,1
493,0,1,0,55,0,0,30.5,C30,1
494,0,1,0,71,0,0,49.5042,,0
495,0,3,0,21,0,0,8.05,,1
496,0,3,0,28,0,0,14.4583,,0
497,1,1,1,54,1,0,65.6344,D20,0
498,0,3,0,28,0,0,15.1,,1
499,0,1,1,25,1,2,65.6344,C22 C26,1
500,0,3,0,24,0,0,7.7958,,1
501,0,3,0,17,0,0,8.6625,,1
502,0,3,1,21,0,0,7.75,,2
503,0,3,1,28,0,0,7.6292,,2
504,0,3,1,37,0,0,9.5875,,1
505,1,1,1,16,0,0,65.6344,B79,1
506,0,1,0,18,1,0,65.6344,C65,0
507,1,2,1,33,0,2,26.0,,1
508,1,1,0,28,0,0,26.55,,1
509,0,3,0,28,0,0,22.525,,1
510,1,3,0,26,0,0,56.4958,,1
511,1,3,0,29,0,0,7.75,,2
512,0,3,0,28,0,0,8.05,,1
513,1,1,0,36,0,0,26.2875,E25,1
514,1,1,1,54,1,0,59.4,,0
515,0,3,0,24,0,0,7.4958,,1
516,0,1,0,47,0,0,34.0208,D46,1
517,1,2,1,34,0,0,10.5,F33,1
518,0,3,0,28,0,0,24.15,,2
519,1,2,1,36,1,0,26.0,,1
520,0,3,0,32,0,0,7.8958,,1
521,1,1,1,30,0,0,65.6344,B73,1
522,0,3,0,22,0,0,7.8958,,1
523,0,3,0,28,0,0,7.225,,0
524,1,1,1,44,0,1,57.9792,B18,0
525,0,3,0,28,0,0,7.2292,,0
526,0,3,0,40,0,0,7.75,,2
527,1,2,1,50,0,0,10.5,,1
528,0,1,0,28,0,0,65.6344,C95,1
529,0,3,0,39,0,0,7.925,,1
530,0,2,0,23,2,1,11.5,,1
531,1,2,1,2,1,1,26.0,,1
532,0,3,0,28,0,0,7.2292,,0
533,0,3,0,17,1,1,7.2292,,0
534,1,3,1,28,0,2,22.3583,,0
535,0,3,1,30,0,0,8.6625,,1
536,1,2,1,7,0,2,26.25,,1
537,0,1,0,45,0,0,26.55,B38,1
538,1,1,1,30,0,0,65.6344,,0
539,0,3,0,28,0,0,14.5,,1
540,1,1,1,22,0,2,49.5,B39,0
541,1,1,1,36,0,2,65.6344,B22,1
542,0,3,1,9,4,2,31.275,,1
543,0,3,1,11,4,2,31.275,,1
544,1,2,0,32,1,0,26.0,,1
545,0,1,0,50,1,0,65.6344,C86,0
546,0,1,0,64,0,0,26.0,,1
547,1,2,1,19,1,0,26.0,,1
548,1,2,0,28,0,0,13.8625,,0
549,0,3,0,33,1,1,20.525,,1
550,1,2,0,8,1,1,36.75,,1
551,1,1,0,17,0,2,65.6344,C70,0
552,0,2,0,27,0,0,26.0,,1
553,0,3,0,28,0,0,7.8292,,2
554,1,3,0,22,0,0,7.225,,0
555,1,3,1,22,0,0,7.775,,1
556,0,1,0,62,0,0,26.55,,1
557,1,1,1,48,1,0,39.6,A16,0
558,0,1,0,28,0,0,65.6344,,0
559,1,1,1,39,1,1,65.6344,E67,1
560,1,3,1,36,1,0,17.4,,1
561,0,3,0,28,0,0,7.75,,2
562,0,3,0,40,0,0,7.8958,,1
563,0,2,0,28,0,0,13.5,,1
564,0,3,0,28,0,0,8.05,,1
565,0,3,1,28,0,0,8.05,,1
566,0,3,0,24,2,0,24.15,,1
567,0,3,0,19,0,0,7.8958,,1
568,0,3,1,29,0,4,21.075,,1
569,0,3,0,28,0,0,7.2292,,0
570,1,3,0,32,0,0,7.8542,,1
571,1,2,0,62,0,0,10.5,,1
572,1,1,1,53,2,0,51.4792,C101,1
573,1,1,0,36,0,0,26.3875,E25,1
574,1,3,1,28,0,0,7.75,,2
575,0,3,0,16,0,0,8.05,,1
576,0,3,0,19,0,0,14.5,,1
577,1,2,1,34,0,0,13.0,,1
578,1,1,1,39,1,0,55.9,E44,1
579,0,3,1,28,1,0,14.4583,,0
580,1,3,0,32,0,0,7.925,,1
581,1,2,1,25,1,1,30.0,,1
582,1,1,1,39,1,1,65.6344,C68,0
583,0,2,0,54,0,0,26.0,,1
584,0,1,0,36,0,0,40.125,A10,0
585,0,3,0,28,0,0,8.7125,,0
586,1,1,1,18,0,2,65.6344,E68,1
587,0,2,0,47,0,0,15.0,,1
588,1,1,0,60,1,1,65.6344,B41,0
589,0,3,0,22,0,0,8.05,,1
590,0,3,0,28,0,0,8.05,,1
591,0,3,0,35,0,0,7.125,,1
592,1,1,1,52,1,0,65.6344,D20,0
593,0,3,0,47,0,0,7.25,,1
594,0,3,1,28,0,2,7.75,,2
595,0,2,0,37,1,0,26.0,,1
596,0,3,0,36,1,1,24.15,,1
597,1,2,1,28,0,0,33.0,,1
598,0,3,0,49,0,0,0.0,,1
599,0,3,0,28,0,0,7.225,,0
600,1,1,0,49,1,0,56.9292,A20,0
601,1,2,1,24,2,1,27.0,,1
602,0,3,0,28,0,0,7.8958,,1
603,0,1,0,28,0,0,42.4,,1
604,0,3,0,44,0,0,8.05,,1
605,1,1,0,35,0,0,26.55,,0
606,0,3,0,36,1,0,15.55,,1
607,0,3,0,30,0,0,7.8958,,1
608,1,1,0,27,0,0,30.5,,1
609,1,2,1,22,1,2,41.5792,,0
610,1,1,1,40,0,0,65.6344,C125,1
611,0,3,1,39,1,5,31.275,,1
612,0,3,0,28,0,0,7.05,,1
613,1,3,1,28,1,0,15.5,,2
614,0,3,0,28,0,0,7.75,,2
615,0,3,0,35,0,0,8.05,,1
616,1,2,1,24,1,2,65.0,,1
617,0,3,0,34,1,1,14.4,,1
618,0,3,1,26,1,0,16.1,,1
619,1,2,1,4,2,1,39.0,F4,1
620,0,2,0,26,0,0,10.5,,1
621,0,3,0,27,1,0,14.4542,,0
622,1,1,0,42,1,0,52.5542,D19,1
623,1,3,0,20,1,1,15.7417,,0
624,0,3,0,21,0,0,7.8542,,1
625,0,3,0,21,0,0,16.1,,1
626,0,1,0,61,0,0,32.3208,D50,1
627,0,2,0,57,0,0,12.35,,2
628,1,1,1,21,0,0,65.6344,D9,1
629,0,3,0,26,0,0,7.8958,,1
630,0,3,0,28,0,0,7.7333,,2
631,1,1,0,80,0,0,30.0,A23,1
632,0,3,0,51,0,0,7.0542,,1
633,1,1,0,32,0,0,30.5,B50,0
634,0,1,0,28,0,0,0.0,,1
